Mariage,Mari,Femme,Date,Lieu,Source,Note
[Mariage3583],[98982],[98983],1821,,,
[Mariage3584],[98984],[98985],1859,,,
[Mariage3585],[98986],[98987],1825,,,
[Mariage3586],[98988],[@],,,,
[Mariage3587],[61118],[98989],1864,,,
[Mariage3588],[75697],[98990],1819,,,
[Mariage3589],[64045],[98991],1816,,,
[Mariage3590],[52321],[98992],1921,,,
[Mariage3591],[98993],[98994],1892,,,
[Mariage3592],[98995],[98996],1835,,,
[Mariage3593],[98997],[98998],1806,,,
[Mariage3594],[98999],[99000],1798,,,
[Mariage3595],[63961],[99001],1847,,,
[Mariage3596],[52322],[99003],1914,,,
[Mariage3597],[86055],[99007],1849,,,
[Mariage3598],[98926],[99010],1817,,,
[Mariage3599],[85160],[99011],1817,,,
[Mariage3600],[93399],[99014],1859,,,
[Mariage3601],[94599],[99016],1847,,,
[Mariage3602],[91395],[99020],1864,,,
[Mariage3603],[51730],[99021],1870,,,
[Mariage3604],[99022],[99024],1842,,,
[Mariage3605],[99023],[99026],1845,,,
[Mariage3606],[91398],[99028],18XX,,,
[Mariage3607],[99032],[99031],,,,
[Mariage3608],[76446],[99034],1859,,,
[Mariage3609],[98929],[99036],1834,,,
[Mariage3610],[99039],[95207],1889,,,
[Mariage3611],[52466],[99040],1903,,,
[Mariage3612],[50820],[99041],1902,,,
[Mariage3613],[91802],[97354],1891,,,
[Mariage3614],[75345],[99042],1900,,,
[Mariage3615],[99043],[99044],1873,,,
[Mariage3616],[99046],[99045],,,,
[Mariage3617],[94891],[99047],,,,
[Mariage3618],[99048],[99049],1806,,,
[Mariage3619],[99050],[99051],1775,,,
[Mariage3620],[99050],[99052],1777,,,
[Mariage3621],[99053],[99054],1780,,,
[Mariage3622],[65779],[99059],1855,,,
[Mariage3623],[99060],[99062],1832,,,
[Mariage3624],[99063],[99064],1826,,,
[Mariage3625],[90603],[99070],1850,,,
[Mariage3626],[99072],[99073],1858,,,
[Mariage3627],[62438],[99074],1915,,,
[Mariage3628],[63513],[99075],1894,,,
[Mariage3629],[63220],[99076],1908-09-19,,,
[Mariage3630],[99077],[99078],1882,,,
[Mariage3631],[99002],[99079],1816,,,
[Mariage3632],[63961],[99080],1864,,,
[Mariage3633],[76162],[63483],1897,,,
[Mariage3634],[99082],[63483],1891,,,
[Mariage3635],[74104],[99084],1883,,,
[Mariage3636],[99085],[99086],,,,
[Mariage3637],[99087],[99088],1803,,,
[Mariage3638],[75079],[99089],1895,,,
[Mariage3639],[76559],[99091],1850,,,
[Mariage3640],[99071],[99093],1815,,,
[Mariage3641],[99094],[99095],,,,
[Mariage3642],[77514],[99096],1777,,,
[Mariage3643],[99081],[99097],1828,,,
[Mariage3644],[91224],[99098],1954,,,
[Mariage3645],[91532],[99101],1952,,,
[Mariage3646],[75060],[99107],1851,,,
[Mariage3647],[54716],[99108],1941,,,
[Mariage3648],[66654],[99110],1880,,,
[Mariage3649],[52126],[99111],,,,
[Mariage3650],[52126],[99112],1929,,,
[Mariage3651],[66849],[99114],1849,,,
[Mariage3652],[52467],[99115],,,,
[Mariage3653],[99116],[99117],1901,,,
[Mariage3654],[51537],[99120],1896,,,
[Mariage3655],[97797],[99122],1906,,,
[Mariage3656],[99124],[99125],,,,
[Mariage3657],[88639],[99126],1893,,,
[Mariage3658],[98245],[99127],1825,,,
[Mariage3659],[99130],[@],,,,
[Mariage3660],[99092],[99130],1821,,,
[Mariage3661],[98892],[99131],,,,
[Mariage3662],[99065],[99132],,,,
[Mariage3663],[99066],[99133],1804,,,
[Mariage3664],[99134],[61546],1921,,,
[Mariage3665],[99135],[98006],,,,
[Mariage3666],[99136],[99137],,,,
[Mariage3667],[99138],[99139],1861,,,
[Mariage3668],[63982],[99141],1853,,,
[Mariage3669],[53994],[99143],,,,
[Mariage3670],[51331],[99144],1934,,,
[Mariage3671],[51333],[99145],1932,,,
[Mariage3672],[99146],[99145],,,,
[Mariage3673],[76300],[99148],1891,,,
[Mariage3674],[50251],[99155],1885,,,
[Mariage3675],[50251],[99158],1893,,,
[Mariage3676],[63636],[94363],,,,
[Mariage3677],[69744],[69746],1878,,,
[Mariage3678],[76099],[98580],,,,
[Mariage3679],[82681],[82682],,,,
[Mariage3680],[82905],[82906],,,,
[Mariage3681],[87511],[87512],,,,
[Mariage3682],[94365],[94366],,,,
[Mariage3683],[97361],[97362],,,,
[Mariage3684],[98026],[98027],,,,
[Mariage3685],[98191],[98192],,,,
[Mariage3686],[98275],[98276],,,,
[Mariage3687],[98965],[98966],,,,
[Mariage3688],[53913],[99159],,,,
[Mariage3689],[50814],[99160],1874,,,
[Mariage3690],[93437],[99162],1849,,,
[Mariage3691],[76630],[99167],1901,,,
[Mariage3692],[99170],[99169],1872,,,
[Mariage3693],[99171],[99172],1870,,,
[Mariage3694],[99165],[99173],1840,,,
[Mariage3695],[99185],[99184],,,,
[Mariage3696],[97719],[99186],1861,,,
[Mariage3697],[75668],[99193],1854,,,
[Mariage3698],[88601],[99194],1875,,,
[Mariage3699],[77000],[99201],1838,,,
[Mariage3700],[95023],[99202],1824,,,
[Mariage3701],[75850],[99205],1869,,,
[Mariage3702],[76983],[99206],1862,,,
[Mariage3703],[62715],[99208],1896,,,
[Mariage3704],[99212],[99211],1844,,,
[Mariage3705],[75930],[99213],1870,,,
[Mariage3706],[75931],[99214],1842,,,
[Mariage3707],[91849],[99221],1846,,,
[Mariage3708],[81104],[99223],1816,,,
[Mariage3709],[97901],[99230],1826,,,
[Mariage3710],[97708],[99234],1815,,,
[Mariage3711],[75031],[99235],1808,,,
[Mariage3712],[99233],[99237],1795,,,
[Mariage3713],[61144],[99238],1887,,,
[Mariage3714],[99239],[99240],1864,,,
[Mariage3715],[75677],[99241],1765,,,
[Mariage3716],[76442],[99244],1884,,,
[Mariage3717],[98152],[99245],1877,,,
[Mariage3718],[99247],[99249],,,,
[Mariage3719],[99246],[99250],1824,,,
[Mariage3720],[99251],[99252],,,,
[Mariage3721],[88765],[99253],1857,,,
[Mariage3722],[99254],[99255],1819,,,
[Mariage3723],[99257],[99258],1875,,,
[Mariage3724],[77495],[99259],1903,,,
[Mariage3725],[99260],[99261],1910,,,
[Mariage3726],[51231],[99263],1919,,,
[Mariage3727],[66229],[99264],,,,
[Mariage3728],[75990],[99265],1821,,,
[Mariage3729],[75173],[99266],1875,,,
[Mariage3730],[97696],[99267],1845,,,
[Mariage3731],[97697],[99268],1810,,,
[Mariage3732],[68315],[99270],1925,,,
[Mariage3733],[94508],[99271],1829,,,
[Mariage3734],[97992],[99272],1815,,,
[Mariage3735],[51848],[99273],1893,,,
[Mariage3736],[99274],[99275],1810,,,
[Mariage3737],[97667],[99276],1812,,,
[Mariage3738],[97667],[99277],1830,,,
[Mariage3739],[99278],[99279],1780,,,
[Mariage3740],[99280],[99281],1788,,,
[Mariage3741],[98114],[99282],1794,,,
[Mariage3742],[98114],[99283],1791,,,
[Mariage3743],[98078],[99284],1827,,,
[Mariage3744],[98092],[99285],1794,,,
[Mariage3745],[99286],[99287],1795,,,
[Mariage3746],[99204],[99288],1834,,,
[Mariage3747],[98579],[99289],1810,,,
[Mariage3748],[98086],[99290],1839,,,
[Mariage3749],[99291],[99292],1805,,,
[Mariage3750],[99215],[99293],,,,
[Mariage3751],[88832],[99294],,,,
[Mariage3752],[56005],[99295],1868,,,
[Mariage3753],[99300],[99298],,,,
[Mariage3754],[99301],[99338],,,,
[Mariage3755],[69181],[99303],,,,
[Mariage3756],[75148],[99302],,,,
[Mariage3757],[98368],[99306],,,,
[Mariage3758],[99231],[99309],,,,
[Mariage3759],[98742],[99312],,,,
[Mariage3760],[98096],[99305],,,,
[Mariage3761],[75784],[99316],,,,
[Mariage3762],[99203],[99321],,,,
[Mariage3763],[98090],[99317],,,,
[Mariage3764],[51392],[99324],,,,
[Mariage3765],[94660],[99314],,,,
[Mariage3766],[75862],[99326],,,,
[Mariage3767],[75863],[99313],,,,
[Mariage3768],[98103],[99315],,,,
[Mariage3769],[75778],[99304],,,,
[Mariage3770],[98093],[99322],,,,
[Mariage3771],[51993],[99310],1887,,,
[Mariage3772],[66831],[99325],,,,
[Mariage3773],[94507],[99307],,,,
[Mariage3774],[75109],[99319],,,,
[Mariage3775],[88883],[99323],,,,
[Mariage3776],[90956],[99328],,,,
[Mariage3777],[75111],[99308],,,,
[Mariage3778],[75853],[99318],,,,
[Mariage3779],[68191],[99311],,,,
[Mariage3780],[64447],[99320],,,,
[Mariage3781],[88418],[99327],,,,
[Mariage3782],[99377],[99330],,,,
[Mariage3783],[99333],[99383],,,,
[Mariage3784],[99389],[99349],,,,
[Mariage3785],[99358],[99395],,,,
[Mariage3786],[99354],[99399],,,,
[Mariage3787],[99370],[99406],,,,
[Mariage3788],[99385],[99407],,,,
[Mariage3789],[99332],[99409],,,,
[Mariage3790],[99415],[99334],,,,
[Mariage3791],[99418],[99401],,,,
[Mariage3792],[99424],[99408],,,,
[Mariage3793],[99427],[99341],1853,,,
[Mariage3794],[99429],[99347],,,,
[Mariage3795],[99434],[99337],,,,
[Mariage3796],[99336],[99436],,,,
[Mariage3797],[99398],[99437],,,,
[Mariage3798],[99368],[99438],,,,
[Mariage3799],[99400],[99443],,,,
[Mariage3800],[99445],[99351],,,,
[Mariage3801],[99446],[99417],,,,
[Mariage3802],[99447],[99411],,,,
[Mariage3803],[99457],[99361],,,,
[Mariage3804],[99477],[99421],,,,
[Mariage3805],[99374],[99348],,,,
[Mariage3806],[99419],[99476],,,,
[Mariage3807],[99478],[99462],,,,
[Mariage3809],[99452],[99365],,,,
[Mariage3810],[99466],[99335],,,,
[Mariage3811],[99363],[99468],,,,
[Mariage3812],[99387],[99458],,,,
[Mariage3813],[99397],[99469],,,,
[Mariage3814],[99362],[99339],,,,
[Mariage3815],[99329],[99353],,,,
[Mariage3816],[99475],[99359],,,,
[Mariage3817],[99481],[99392],,,,
[Mariage3818],[99480],[99451],,,,
[Mariage3819],[99465],[99350],,,,
[Mariage3820],[99356],[99364],,,,
[Mariage3821],[99386],[99384],,,,
[Mariage3822],[99454],[99461],,,,
[Mariage3823],[99460],[99479],,,,
[Mariage3824],[99482],[99373],,,,
[Mariage3825],[99379],[99459],,,,
[Mariage3826],[99428],[99442],,,,
[Mariage3827],[99444],[99473],,,,
[Mariage3828],[99357],[99403],,,,
[Mariage3829],[99369],[99463],,,,
[Mariage3830],[99367],[99486],,,,
[Mariage3831],[99498],[99487],1887,,,
[Mariage3832],[91043],[99499],1875,,,
[Mariage3833],[99500],[99501],1890,,,
[Mariage3834],[92146],[99502],1886,,,
[Mariage3835],[98359],[99505],1845,,,
[Mariage3836],[99506],[99507],1849,,,
[Mariage3837],[99200],[99511],1804,,,
[Mariage3838],[99509],[99514],,,,
[Mariage3839],[99510],[99518],1836,,,
[Mariage3840],[99519],[99520],1814,,,
[Mariage3841],[92448],[99526],1887,,,
[Mariage3842],[91724],[99529],1880,,,
[Mariage3843],[98644],[99531],1819,,,
[Mariage3844],[99025],[99533],1818,,,
[Mariage3845],[74062],[99534],,,,
[Mariage3846],[98330],[99538],1777,,,
[Mariage3847],[95195],[99540],1836,,,
[Mariage3848],[99542],[99544],1842,,,
[Mariage3849],[97666],[99422],1847,,,
[Mariage3850],[93436],[99550],1884,,,
[Mariage3851],[99552],[99554],1804,,,
[Mariage3852],[68520],[99557],1803,,,
[Mariage3853],[75848],[99572],1901,,,
[Mariage3854],[99571],[99577],,,,
[Mariage3855],[56466],[99574],1914,,,
[Mariage3856],[68589],[99580],1856,,,
[Mariage3857],[99578],[99582],1878,,,
[Mariage3858],[66637],[99591],1835,,,
[Mariage3859],[81634],[99592],1886,,,
[Mariage3860],[75808],[99593],1910,,,
[Mariage3861],[68295],[99596],1834,,,
[Mariage3862],[69256],[99597],1914,,,
[Mariage3863],[54586],[99598],1949,,,
[Mariage3864],[99157],[99599],,,,
[Mariage3865],[91152],[99600],1869,,,
[Mariage3866],[68203],[99602],,,,
[Mariage3867],[54227],[99603],,,,
[Mariage3868],[99594],[99606],1811,,,
[Mariage3869],[99604],[99607],1854,,,
[Mariage3870],[98951],[98954],182X,,,
[Mariage3871],[97371],[99608],1826,,,
[Mariage3872],[92443],[99612],1863,,,
[Mariage3873],[52261],[99617],1900,,,
[Mariage3874],[97982],[99620],1802,,,
[Mariage3875],[99017],[99623],1823,,,
[Mariage3876],[99624],[99625],1809,,,
[Mariage3877],[99626],[99627],1793,,,
[Mariage3878],[98919],[99628],1793,,,
[Mariage3879],[99632],[99633],1817,,,
[Mariage3880],[98936],[99634],1842,,,
[Mariage3881],[99192],[99645],1804,,,
[Mariage3882],[99647],[99648],1763,,,
[Mariage3883],[99646],[99649],,,,
[Mariage3884],[88585],[99650],,,,
[Mariage3885],[99651],[99652],,,,
[Mariage3887],[95729],[99657],1892,,,
[Mariage3888],[@],[99657],,,,
[Mariage3889],[99666],[99667],1909,,,
[Mariage3890],[99668],[91530],1955,,,
[Mariage3891],[99665],[99669],1882,,,
[Mariage3892],[91249],[99678],1910,,,
[Mariage3893],[91257],[99682],1843,,,
[Mariage3894],[75970],[99692],1845,,,
[Mariage3895],[75721],[99693],1882,,,
[Mariage3896],[76591],[99778],1913,,,
[Mariage3897],[76188],[99779],1917,,,
[Mariage3898],[81036],[99781],1901,,,
[Mariage3899],[64850],[99783],1890,,,
[Mariage3900],[69021],[99784],1902,,,
[Mariage3901],[91277],[99786],1885,,,
[Mariage3902],[91276],[99787],1939,,,
[Mariage3903],[90781],[99788],1890,,,
[Mariage3904],[96295],[99789],1920,,,
[Mariage3905],[56395],[99790],1891,,,
[Mariage3906],[53089],[99791],1922,,,
[Mariage3907],[99792],[99794],1890,,,
[Mariage3908],[76657],[99793],1923,,,
[Mariage3909],[99795],[99796],1888,,,
[Mariage3910],[90534],[99797],,,,
[Mariage3911],[91822],[99798],1832,,,
[Mariage3912],[99802],[99803],1867,,,
[Mariage3913],[99804],[99805],1818,,,
[Mariage3914],[77526],[99914],1846,,,
[Mariage3915],[97995],[99915],1821,,,
[Mariage3916],[71090],[99917],1838,,,
[Mariage3917],[76140],[99920],1811,,,
[Mariage3918],[91699],[99923],1850,,,
[Mariage3919],[75317],[99926],1872,,,
[Mariage3921],[98948],[99928],1835,,,
[Mariage3922],[88428],[99930],1883,,,
[Mariage3923],[100047],[100048],,,,
[Mariage3924],[75649],[100049],1833,,,
[Mariage3925],[88414],[100050],1812,,,
[Mariage3926],[95495],[100051],1821,,,
[Mariage3927],[98178],[100052],,,,
[Mariage3928],[69324],[100055],1940,,,
[Mariage3929],[75045],[100058],1852,,,
[Mariage3930],[62413],[100059],1852,,,
[Mariage3931],[69323],[100060],1853,,,
[Mariage3932],[76119],[100061],1895,,,
[Mariage3933],[61146],[100063],1887,,,
[Mariage3934],[68770],[100064],1873,,,
[Mariage3935],[100065],[100066],1831,,,
[Mariage3936],[68122],[100068],1855,,,
[Mariage3937],[100069],[100070],1857,,,
[Mariage3938],[90773],[100072],1887,,,
[Mariage3939],[75971],[100079],1811,,,
[Mariage3940],[100080],[100083],,,,
[Mariage3941],[100057],[100171],1823,,,
[Mariage3942],[99009],[100173],1780,,,
[Mariage3943],[99012],[100174],1794,,,
[Mariage3944],[97938],[100175],1770,,,
[Mariage3945],[100176],[75796],,,,
[Mariage3946],[75796],[100176],1791,,,
[Mariage3947],[100177],[100178],,,,
[Mariage3948],[75652],[100179],1799,,,
[Mariage3949],[75909],[100180],1835,,,
[Mariage3950],[99196],[100185],1824,,,
[Mariage3951],[75310],[100187],1892,,,
[Mariage3952],[69079],[100188],1819,,,
[Mariage3953],[100189],[100190],,,,
[Mariage3954],[63969],[100191],1835,,,
[Mariage3955],[75658],[100192],,,,
[Mariage3956],[75918],[100193],1920,,,
[Mariage3957],[82543],[100194],,,,
[Mariage3958],[85164],[100195],1844,,,
[Mariage3959],[83064],[100196],1830,,,
[Mariage3960],[74999],[100197],,,,
[Mariage3961],[95144],[100198],1789,,,
[Mariage3962],[100199],[100201],1855,,,
[Mariage3963],[100200],[100202],1800,,,
[Mariage3964],[57083],[100204],1927,,,
[Mariage3965],[100205],[100206],1849,,,
[Mariage3966],[51134],[100207],1963,,,
[Mariage3967],[91835],[100208],1872,,,
[Mariage3968],[66549],[100209],,,,
[Mariage3969],[81540],[100210],1904,,,
[Mariage3970],[91236],[100211],1930,,,
[Mariage3971],[76594],[100212],1905,,,
[Mariage3972],[91834],[100214],1825,,,
[Mariage3974],[100216],[100217],1781,,,
[Mariage3975],[91443],[100218],1868,,,
[Mariage3976],[100219],[100221],,,,
[Mariage3977],[100220],[100222],1821,,,
[Mariage3978],[98925],[100224],1834,,,
[Mariage3979],[98927],[100225],1781,,,
[Mariage3980],[100226],[100227],1804,,,
[Mariage3981],[98928],[100228],1827,,,
[Mariage3982],[98935],[100230],1796,,,
[Mariage3983],[69155],[100232],1914,,,
[Mariage3984],[62550],[100234],1895,,,
[Mariage3985],[100213],[100215],,,,
[Mariage3986],[100235],[100236],1859,,,
[Mariage3987],[89794],[100237],1932,,,
[Mariage3988],[100238],[100239],1889,,,
[Mariage3989],[61147],[100240],1882,,,
[Mariage3990],[100241],[100242],1809,,,
[Mariage3991],[100081],[100243],1779,,,
[Mariage3992],[99570],[100244],1780,,,
[Mariage3993],[99570],[100247],1772,,,
[Mariage3994],[98221],[100248],1782,,,
[Mariage3995],[91830],[100249],1830,,,
[Mariage3996],[74058],[100250],1867,,,
[Mariage3997],[98924],[100251],1803,,,
[Mariage3998],[66204],[100252],1833,,,
[Mariage3999],[100253],[100254],1838,,,
[Mariage4000],[98856],[100255],1799,,,
[Mariage4001],[76566],[100256],1831,,,
[Mariage4002],[99207],[100257],1842,,,
[Mariage4003],[70032],[100260],1814,,,
[Mariage4004],[99780],[100261],1819,,,
[Mariage4005],[77062],[100262],1932,,,
[Mariage4006],[74055],[100263],1905,,,
[Mariage4007],[74053],[100264],1948,,,
[Mariage4008],[68301],[100265],1829,,,
[Mariage4009],[98346],[100266],1798,,,
[Mariage4010],[98346],[100267],1817,,,
[Mariage4011],[82168],[100268],1844,,,
[Mariage4012],[100269],[100270],1809,,,
[Mariage4013],[98105],[100271],1856,,,
[Mariage4014],[75236],[100272],1833,,,
[Mariage4015],[75236],[100273],1844,,,
[Mariage4016],[75237],[100274],1884,,,
[Mariage4017],[95209],[100275],1794,,,
[Mariage4018],[52751],[100276],1924,,,
[Mariage4019],[100277],[100278],1872,,,
[Mariage4020],[100279],[100280],,,,
[Mariage4021],[100281],[100282],,,,
[Mariage4022],[100283],[100284],1880,,,
[Mariage4023],[91467],[100285],1911,,,
[Mariage4024],[98884],[100287],1862,,,
[Mariage4025],[100288],[100289],,,,
[Mariage4026],[91153],[100291],,,,
[Mariage4027],[100292],[100293],,,,
[Mariage4028],[100294],[100296],1789,,,
[Mariage4029],[100297],[100298],1797,,,
[Mariage4030],[63805],[100299],,,,
[Mariage4031],[100302],[100303],,,,
[Mariage4032],[100305],[100306],1822,,,
[Mariage4033],[67018],[100307],1822,,,
[Mariage4034],[75972],[100308],1829,,,
[Mariage4035],[100309],[100310],1808,,,
[Mariage4036],[98943],[100479],1865,,,
[Mariage4037],[98945],[100487],1867,,,
[Mariage4038],[98920],[100495],1815,,,
[Mariage4039],[100498],[100503],1783,,,
[Mariage4040],[75661],[100504],1801,,,
[Mariage4041],[98923],[100505],1777,,,
[Mariage4042],[98918],[100508],1828,,,
[Mariage4043],[100304],[100606],1808,,,
[Mariage4044],[75719],[100608],1818,,,
[Mariage4045],[99679],[100609],1843,,,
[Mariage4046],[100480],[100611],1846,,,
[Mariage4047],[68589],[100612],1843,,,
[Mariage4048],[99638],[100613],1811,,,
[Mariage4049],[99635],[100614],1831,,,
[Mariage4050],[82169],[100615],1879,,,
[Mariage4051],[74063],[100616],186X,,,
[Mariage4052],[100617],[100618],1812,,,
[Mariage4053],[97770],[100619],1823,,,
[Mariage4054],[97691],[100620],1873,,,
[Mariage4055],[100621],[100622],1865,,,
[Mariage4056],[100623],[100624],1854,,,
[Mariage4057],[68981],[100625],1842,,,
[Mariage4058],[70139],[100626],1810,,,
[Mariage4059],[100290],[100627],1845,,,
[Mariage4060],[98234],[100628],1789,,,
[Mariage4061],[97937],[100629],1796,,,
[Mariage4062],[90796],[100631],,,,
[Mariage4063],[100630],[100632],1822,,,
[Mariage4064],[99175],[100633],,,,
[Mariage4065],[100634],[100635],1833,,,
[Mariage4066],[65517],[100636],1885,,,
[Mariage4067],[100637],[100638],1855,,,
[Mariage4068],[85167],[100639],1832,,,
[Mariage4069],[100640],[100641],1803,,,
[Mariage4070],[98143],[100642],1808,,,
[Mariage4071],[98810],[100643],1822,,,
[Mariage4072],[100644],[100645],1789,,,
[Mariage4073],[99616],[100646],178X,,,
[Mariage4074],[97920],[100647],1835,,,
[Mariage4075],[99147],[100648],1869,,,
[Mariage4076],[99799],[100649],1780,,,
[Mariage4077],[99800],[100650],1813,,,
[Mariage4078],[99168],[100651],1844,,,
[Mariage4079],[97927],[100652],1805,,,
[Mariage4080],[98070],[100653],1813,,,
[Mariage4081],[99037],[100654],1846,,,
[Mariage4082],[100655],[100656],18XX,,,
[Mariage4083],[98935],[100657],1793,,,
[Mariage4084],[99038],[100659],1812,,,
[Mariage4085],[97373],[100661],1847,,,
[Mariage4086],[91774],[100662],1856,,,
[Mariage4087],[100663],[100664],1822,,,
[Mariage4088],[100665],[100666],1784,,,
[Mariage4089],[100667],[100668],1830,,,
[Mariage4090],[100669],[100670],1787,,,
[Mariage4091],[100671],[100672],1855,,,
[Mariage4092],[88579],[100673],1910,,,
[Mariage4093],[82143],[100674],,,,
[Mariage4094],[100675],[100676],1816,,,
[Mariage4095],[98293],[100678],1817,,,
[Mariage4096],[75932],[100679],1892,,,
[Mariage4097],[65918],[100681],1854,,,
[Mariage4098],[82761],[100682],1893,,,
[Mariage4099],[100683],[100684],1867,,,
[Mariage4100],[98743],[100685],1857,,,
[Mariage4101],[69980],[100686],1868,,,
[Mariage4102],[100075],[100688],1795,,,
[Mariage4103],[100689],[100690],1808,,,
[Mariage4104],[100692],[100693],1852,,,
[Mariage4105],[91446],[100691],1876,,,
[Mariage4106],[100695],[100696],,,,
[Mariage4107],[97284],[100694],1935,,,
[Mariage4108],[68298],[100697],1862,,,
[Mariage4109],[100698],[100699],1835,,,
[Mariage4110],[100700],[100701],1880,,,
[Mariage4111],[99929],[@],178X,,,
[Mariage4112],[100706],[100707],1779,,,
[Mariage4113],[91840],[100705],1819,,,
[Mariage4114],[91842],[100708],1790,,,
[Mariage4115],[100074],[100709],1822,,,
[Mariage4116],[100071],[100710],1824,,,
[Mariage4117],[100073],[100711],1862,,,
[Mariage4118],[100712],[100714],1794,,,
[Mariage4119],[91158],[100715],1857,,,
[Mariage4120],[91157],[100717],1823,,,
[Mariage4121],[100718],[100719],1798,,,
[Mariage4122],[100720],[100721],1796,,,
[Mariage4123],[77349],[100722],1916,,,
[Mariage4124],[99030],[100724],1885,,,
[Mariage4125],[100725],[100727],,,,
[Mariage4126],[52250],[100728],1911,,,
[Mariage4127],[51081],[100730],1949,,,
[Mariage4128],[100729],[100731],,,,
[Mariage4129],[100732],[100733],,,,
[Mariage4130],[91220],[100734],1897,,,
[Mariage4131],[76077],[100735],,,,
[Mariage4132],[75029],[100737],1805,,,
[Mariage4133],[100229],[100738],1798,,,
[Mariage4134],[98645],[100739],1875,,,
[Mariage4135],[98645],[100740],1854,,,
[Mariage4136],[100742],[100743],1832,,,
[Mariage4137],[100744],[100745],1805,,,
[Mariage4138],[100746],[100747],,,,
[Mariage4139],[99035],[100749],1825,,,
[Mariage4140],[91111],[100750],1874,,,
[Mariage4141],[100752],[100751],1893,,,
[Mariage4142],[100754],[100755],,,,
[Mariage4143],[62362],[100753],1920,,,
[Mariage4144],[100757],[100758],,,,
[Mariage4145],[63853],[100756],1885,,,
[Mariage4146],[99154],[100759],1787,,,
[Mariage4147],[64010],[100760],1839,,,
[Mariage4148],[100761],[100762],1821,,,
[Mariage4149],[100763],[100764],1816,,,
[Mariage4150],[100765],[100766],1823,,,
[Mariage4151],[88467],[100767],1857,,,
[Mariage4152],[75012],[100768],1829,,,
[Mariage4153],[100770],[100769],,,,
[Mariage4154],[99178],[100771],1789,,,
[Mariage4155],[63795],[100772],1855,,,
[Mariage4156],[100773],[100774],1835,,,
[Mariage4157],[99177],[100775],1819,,,
[Mariage4158],[76047],[100776],1932,,,
[Mariage4159],[88380],[100777],1874,,,
[Mariage4160],[83717],[100778],1963,,,
[Mariage4161],[75727],[100780],,,,
[Mariage4162],[73592],[100781],1854,,,
[Mariage4163],[63719],[100782],1922,,,
[Mariage4164],[100783],[100784],1890,,,
[Mariage4165],[97574],[100785],1922,,,
[Mariage4166],[99232],[100786],1845,,,
[Mariage4167],[91844],[100787],1851,,,
[Mariage4168],[99197],[100788],1792,,,
[Mariage4169],[100186],[100789],1780,,,
[Mariage4170],[69091],[100790],1874,,,
[Mariage4171],[100791],[100792],1852,,,
[Mariage4172],[100797],[100798],,,,
[Mariage4173],[64199],[100795],1834,,,
[Mariage4174],[100793],[100794],1777,,,
[Mariage4175],[61099],[100796],1841,,,
[Mariage4176],[62433],[100801],1851,,,
[Mariage4177],[100799],[100802],1814,,,
[Mariage4178],[100803],[100804],1808,,,
[Mariage4179],[51607],[100807],1874,,,
[Mariage4180],[100808],[100809],1819,,,
[Mariage4181],[99912],[100810],1813,,,
[Mariage4182],[97919],[100811],1798,,,
[Mariage4183],[100814],[100815],1917,,,
[Mariage4184],[100817],[100816],,,,
[Mariage4185],[100816],[100817],1873,,,
[Mariage4186],[68743],[100818],1818,,,
[MonoP50002],[50002],,,,,
[MonoP50017],[50017],,,,,
[MonoP50025],[50025],,,,,
[MonoP50028],[50028],,,,,
[MonoP50094],[50094],,,,,
[MonoP50107],[50107],,,,,
[MonoP50151],[50151],,,,,
[MonoP50177],[50177],,,,,
[MonoP50269],[50269],,,,,
[MonoP50292],[50292],,,,,
[MonoP50296],[50296],,,,,
[MonoP50311],[50311],,,,,
[MonoP50318],[50318],,,,,
[MonoP50358],[50358],,,,,
[MonoP50364],[50364],,,,,
[MonoP50379],[50379],,,,,
[MonoP50385],[50385],,,,,
[MonoP50387],[50387],,,,,
[MonoP50401],[50401],,,,,
[MonoP50402],[50402],,,,,
[MonoP50405],[50405],,,,,
[MonoP50423],[50423],,,,,
[MonoP50425],[50425],,,,,
[MonoP50487],[50487],,,,,
[MonoP50522],[50522],,,,,
[MonoP50573],[50573],,,,,
[MonoP50574],[50574],,,,,
[MonoP50610],[50610],,,,,
[MonoP50611],[50611],,,,,
[MonoP50652],[50652],,,,,
[MonoP50670],[50670],,,,,
[MonoP50673],[50673],,,,,
[MonoP50676],[50676],,,,,
[MonoP50680],[50680],,,,,
[MonoP50684],[50684],,,,,
[MonoP50699],[50699],,,,,
[MonoP50706],[50706],,,,,
[MonoP50712],[50712],,,,,
[MonoP50714],[50714],,,,,
[MonoP50751],[50751],,,,,
[MonoP50754],[50754],,,,,
[MonoP50755],[50755],,,,,
[MonoP50764],[50764],,,,,
[MonoP50799],[50799],,,,,
[MonoP50800],[50800],,,,,
[MonoP50801],[50801],,,,,
[MonoP50825],[50825],,,,,
[MonoP50836],[50836],,,,,
[MonoP50849],[50849],,,,,
[MonoP50859],[50859],,,,,
[MonoP50863],[50863],,,,,
[MonoP50873],[50873],,,,,
[MonoP50874],[50874],,,,,
[MonoP50881],[50881],,,,,
[MonoP50915],[50915],,,,,
[MonoP50932],[50932],,,,,
[MonoP50935],[50935],,,,,
[MonoP50967],[50967],,,,,
[MonoP50974],[50974],,,,,
[MonoP50993],[50993],,,,,
[MonoP51001],[51001],,,,,
[MonoP51022],[51022],,,,,
[MonoP51042],[51042],,,,,
