Mariage,Mari,Femme,Date,Lieu,Source,Note
[Mariage154],[50175],[64807],1932,,,
[Mariage155],[50189],[64808],1921,,,
[Mariage156],[50209],[64809],1923,,,
[Mariage157],[50671],[64810],1895,,,
[Mariage158],[50692],[64811],1894,,,
[Mariage159],[50725],[64812],1895,,,
[Mariage160],[50756],[64813],1899,,,
[Mariage161],[50790],[64814],1904,,,
[Mariage162],[50806],[64815],1864,,,
[Mariage163],[50850],[64816],1919,,,
[Mariage164],[50864],[64817],1913,,,
[Mariage165],[50865],[64818],1910,,,
[Mariage166],[50916],[64819],1912,,,
[Mariage167],[50928],[64820],1918,,,
[Mariage168],[50957],[64821],1914,,,
[Mariage169],[50990],[64822],1923,,,
[Mariage170],[51066],[64823],1957,,,
[Mariage171],[51120],[64824],1980,,,
[Mariage172],[51166],[64825],1957,,,
[Mariage173],[51198],[64826],1980,,,
[Mariage174],[51202],[64827],1957,,,
[Mariage175],[51291],[64828],1892,,,
[Mariage176],[51309],[64829],1904,,,
[Mariage177],[51318],[64830],1926,,,
[Mariage178],[51321],[64831],1925,,,
[Mariage179],[51350],[64833],1911,,,
[Mariage180],[51420],[64834],1910,,,
[Mariage181],[51420],[64835],1949,,,
[Mariage182],[51427],[64836],1896,,,
[Mariage183],[51428],[64837],1908-10-29,,,
[Mariage184],[51507],[64838],1910,,,
[Mariage185],[51655],[64839],1891,,,
[Mariage186],[51725],[64840],1886,,,
[Mariage187],[51750],[64841],1893,,,
[Mariage188],[51803],[64842],1898,,,
[Mariage189],[51811],[64843],1900,,,
[Mariage190],[51904],[64844],1895,,,
[Mariage191],[51905],[64845],1893,,,
[Mariage192],[51917],[64846],1888,,,
[Mariage193],[50821],[64847],1866,,,
[Mariage194],[50012],[64991],1915,,,
[Mariage195],[50093],[54904],1980,,,
[Mariage196],[50805],[52529],1895,,,
[Mariage197],[51224],[64992],1937,,,
[Mariage198],[51289],[52904],1919,,,
[Mariage199],[51297],[52309],1937,,,
[Mariage200],[64993],[51674],1910,,,
[Mariage201],[51877],[52470],1893,,,
[Mariage202],[52665],[57369],1952,,,
[Mariage203],[52790],[63745],1957,,,
[Mariage204],[64144],[52805],1958,,,
[Mariage205],[52815],[64994],1924,,,
[Mariage206],[53927],[54956],1993,,,
[Mariage207],[64996],[54175],1964,,,
[Mariage208],[54572],[64997],1948,,,
[Mariage209],[64998],[54577],1944,,,
[Mariage210],[54824],[54945],1974,,,
